,precision,recall,f1-score,support
api,0.9974619289340102,0.9974619289340102,0.9974619289340102,394.0
billing,0.9974293059125964,0.9847715736040609,0.9910600255427842,394.0
cancellation,0.9973262032085561,0.9973262032085561,0.9973262032085561,374.0
complaint,0.9923664122137404,1.0,0.9961685823754789,390.0
technical,0.9974619289340102,0.9949367088607595,0.9961977186311787,395.0
upgrade,0.9898734177215189,0.9974489795918368,0.9936467598475223,392.0
accuracy,0.9952971355280035,0.9952971355280035,0.9952971355280035,0.9952971355280035
macro avg,0.9953198661540722,0.9953242323665372,0.9953102030899217,2339.0
weighted avg,0.9953133343175251,0.9952971355280035,0.9952932988071134,2339.0
